Berufsbenennungen;KldB 2010 (5-Steller)
Techniker/in - Landbau;11113
Techniker/in - Landbautechnik (Ökologischer Landbau);11113
Dipl.-Ing. (Ing.H) - Mechanisierung der Pflanzenproduktion;11114
Dipl.-Ing. (Ing.H) - Mechanisierung der Tierproduktion;11114
Dipl.-Ing. (Uni) - Landtechnik;11114
Ingenieur/in - Landbau;11114
Ingenieur/in - Landtechnik;11114
Ingenieur/in - regenerative Boden- und Landtechnik;11114
Landbauingenieur/in;11114
Landwirtschaftliche/r Gutachter/in;11123
Landwirtschaftliche/r Sachverständige/r;11123
Sachverständige/r - Landwirtschaft;11123
Beamt(er/in) - Höherer Beratungs- und Fachschuldienst;11124
Beamt(er/in) - Höherer landwirtschaftlicher Dienst;11124
Betriebshilfering-Geschäftsführer/in;11124
Dipl.-Landwirt/in (administrativ/beratend tätig);11124
Geschäftsführer/in - Maschinen- und Betriebshilfering;11124
Maschinenring-Geschäftsführer/in;11124
Agrarlaborant/in;11132
Agrart.Ass.(staatl.gepr.)-Agrarw.Milchw.u.Lebensmittel.;11132
Agrartechnische/r Ass. (staatl.gepr.) - Fleischwirtschaft;11132
Agrartechnische/r Assistent/in;11132
Agrarwirtschaftlich-technische/r Assistent/in;11132
Assistent/in - Agrar- und Umwelttechnik (Laborant/in);11132
Landwirtschaftlich-technische/r Laborant/in;11132
Pflanzenschutzlaborant/in;11132
Pflanzentechnologe/-technologin;11132
Landwirtschaftliche/r Labortechniker/in;11133
Agrochemiker/in;11182
Almbauer/-bäuerin;11182
Facharbeiter/in - Pflanzenproduktion;11182
Feldgemüsebauer/-bäuerin;11182
Grünlandwirt/in;11182
Hopfenanbauer/in;11182
Hopfenbauer/-bäuerin;11182
Kartoffelerzeuger/in;11182
Kohlbauer/-bäuerin;11182
Krautbauer/-bäuerin;11182
Ökobauer/-bäuerin;11182
Ökolandwirt/in;11182
Pflanzenschützer/in;11182
Spargelanbauer/in;11182
Wirtschaftsassistent/in - Landwirtschaft;11182
Agrarinformatiker/in;11183
Agrarinformatiktechniker/in;11183
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt.;11183
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.);11183
Agraringenieur/in (FS) - Saat- und Pflanzenprodukte;11183
Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion;11183
Fachagrarwirt/in - Biomasse;11183
Fachagrarwirt/in - Erneuerbare Energien;11183
Fachagrarwirt/in - Erneuerbare Energien/Biomasse;11183
Fachagrarwirt/in - Landwirtschaftliche Direktvermarktung;11183
Fachkraft - EDV-gestützte Unternehmensführung;11183
Food-Chain-Manager/in;11183
Ingenieur/in (FS) - Agrochemie;11183
Pflanzenschutzberater/in;11183
Pflanzenschutzinspektor/in;11183
Techniker/in - Agrarinformatik;11183
Agraringenieur/in - Pflanzenproduktion;11184
Agraringenieur/in - Wirtschaftswissenschaften;11184
Dipl.Agraring./Dipl.Landwirt/in (Uni) - Agrochemie/Pflanzens;11184
Dipl.-Agraring./Dipl.-Landwirt/in (Uni) - Pflanzenproduktion;11184
Dipl.Agraring./in (Uni) - Tropische u. subtrop. Landwirtsch.;11184
Dipl.-Agraring./-Landw.(Uni) - Pflanzenzücht./Saatgutprod.;11184
Dipl.-Ing. - Agrarmarketing u.Agrarmanagement;11184
Ingenieur/in - Agrarmarketing und Agrarmanagement;11184
Mitarbeiter/in - Entwicklungszusammenarbeit;11184
Pflanzenarzt/-ärztin;11184
Phytomediziner/in;11184
Phytopathologe/-pathologin;11184
Agrarbetriebswirt/in;11193
Agrarservicemeister/in;11193
Agrarwirtschafter/in;11193
Agrarwirtschaftler/in;11193
Aufseher/in (Landwirtschaft);11193
Betriebswirt/in (Fachschule) - Agrarb/B. Prof. Agrarwirtsch.;11193
Fachagrarwirt/in - Landtechnik;11193
Ingenieurökonom/in - Soz. Betriebswirtsch.(Landwirtschaft);11193
Kolonnenführer/in (Landarbeit);11193
Landarbeitsaufseher/in;11193
Landbauwirtschafter/in;11193
Landwirtschaftsmeister/in;11193
Meister/in - Agrochemie;11193
Meister/in - Landwirtschaft;11193
Meister/in - Pflanzenproduktion;11193
Meister/in - Pflanzenproduktion (Feldbau);11193
Meister/in - Saatgut;11193
Meister/in - Saatzucht;11193
Meister/in - Schädlingsbekämpfung (Landwirtschaft);11193
Meister/in - technische Trocknung;11193
Meister/in - Trocknung landwirtschaftlicher Produkte;11193
Pflanzentechnologiemeister/in;11193
Wirtschafter/in - Agrarwirtschaft;11193
Wirtschafter/in - Landbau;11193
Wirtschafter/in - Landwirtschaft/B. Prof. Agrarwirtsch.;11193
Wirtschafter/in - ökologischer Landbau;11193
Wirtschaftler/in - Land-, Forst- und Nahrungsgüterwirtschaft;11193
Betriebsleiter/in - landwirtschaftlich;11194
Betriebsleiter/in (ökolog. Betrieb);11194
Farm Manager/in;11194
Gutsverwalter/in;11194
Landwirtschaftliche/r Betriebsleiter/in;11194
Landwirtschaftliche/r Verwalter/in;11194
Landwirtschaftsleiter/in;11194
Weideverwalter/in;11194
Wirtschaftsverwalter/in;11194
Fütterer/Fütterin - Tierwirtschaft;11211
Geflügelzuchtgehilfe/-gehilfin;11211
Helfer/in - Nutztierhaltung;11211
Helfer/in - Tierzucht;11211
Hufbeschlaghelfer/in;11211
Kükensortierer/in;11211
Melkergehilfe/-gehilfin;11211
Melkhilfe;11211
Pelztierzuchtgehilfe/-gehilfin;11211
Pelztierzuchthelfer/in;11211
Schafzuchthelfer/in;11211
Schweinezuchtgehilfe/-gehilfin;11211
Stallbursche/-mädchen;11211
Stallhelfer/in;11211
Tierzüchterhelfer/in;11211
Viehtreiber/in;11211
Facharbeiter/in - Rinderproduktion;11212
Facharbeiter/in - Rinderzucht;11212
Facharbeiter/in - Schafproduktion;11212
Facharbeiter/in - Tierproduktion (Rinderproduktion);11212
Facharbeiter/in - Tierproduktion (Schweineproduktion);11212
Facharbeiter/in - Viehwirtschaft;11212
Hirte/Hirtin;11212
Mäster/in (Schweinehaltung);11212
Melker/in;11212
Rinderhalter/in;11212
Rindermäster/in;11212
Rinderwirt/in;11212
Rinderzüchter/in;11212
Schäfer/in;11212
Schafhalter/in;11212
Schafhirte/-hirtin;11212
Schafscherer/in;11212
Schafzüchter/in;11212
Schlachtschweinproduzent/in;11212
Schweinehalter/in;11212
Schweinemäster/in;11212
Schweinezüchter/in;11212
Senner/in (Melker/in);11212
Tierwirt/in - Rinderhaltung;11212
Tierwirt/in - Schäferei;11212
Tierwirt/in - Schweinehaltung;11212
Tierzüchter/in;11212
Vermehrungszüchter/in (Schweinehaltung);11212
Viehhalter/in;11212
Wanderschäfer/in;11212
Ziegenzüchter/in;11212
Zootechniker/in/Mechanisator/in - Schafproduktion;11212
Agraringenieur/in (FS) - Landwirt. Tierproduktion;11213
Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.);11213
Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion;11213
Agrarwirt/in - Klauenpflege;11213
Fachagrarwirt/in - Klauenpflege;11213
Fachagrarwirt/in - Leistungs-,Quali.prüfung (Tierproduktion);11213
Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung;11213
Fachberater/in - Tierwirtschaft;11213
Fachberater/in - Tierzucht;11213
Klauenpfleger/in;11213
Leistungsprüfer/in (Tierzucht);11213
Milcherzeugerberater/in;11213
Rinderzuchtberater/in;11213
Schafzuchtberater/in;11213
Schweinezuchtberater/in;11213
Tierwirtschaftsberater/in;11213
Tierzuchtberater/in;11213
Tierzuchtinspektor/in;11213
Tierzuchtkontrolleur/in;11213
Viehzuchtberater/in;11213
Zuchtberater/in;11213
Dipl.-Agraring./Dipl.Landwirt/in (Uni) - Tierproduktion;11214
Master of Science - Nutztierwissenschaften;11214
Facharbeiter/in - Geflügelproduktion;11222
Facharbeiter/in - Geflügelzucht;11222
Gänsemäster/in;11222
Gänsezüchter/in;11222
Geflügelfachmann/-frau;11222
Geflügelfarmer/in;11222
Geflügelhalter/in;11222
Geflügelmäster/in;11222
Geflügelwart/in;11222
Geflügelzüchter/in;11222
Taubenzüchter/in;11222
Tierwirt/in - Geflügelhaltung;11222
Fachberater/in - Geflügelzucht;11223
Geflügelzuchtberater/in;11223
Berufsimker/in;11232
Bienenhalter/in;11232
Bienenwirtschaftsfacharbeiter/in;11232
Bienenzüchter/in;11232
Bienenzuchtgehilfe/-gehilfin;11232
Imker/in;11232
Imkergehilfe/-gehilfin;11232
Tierwirt/in - Imkerei;11232
Bienenzuchtberater/in;11233
Brieftaubenzüchter/in;11282
Chinchillazüchter/in;11282
Edelpelztierzüchter/in;11282
Facharbeiter/in - Edelfellproduktion;11282
Hundezüchter/in;11282
Insektenzüchter/in;11282
Kanarienvogelzüchter/in;11282
Kaninchenzüchter/in;11282
Kleintierzüchter/in;11282
Nerzzüchter/in;11282
Pelztierhalter/in;11282
Pelztierzüchter/in;11282
Rassehundezüchter/in;11282
Rassetaubenzüchter/in;11282
Tierwirt/in - Pelztierhaltung;11282
Vogelzüchter/in;11282
Wellensittichzüchter/in;11282
Fachberater/in - Futtermittel;11283
Futterberater/in;11283
Futtermeister/in;11283
Futtermittelberater/in;11283
Futtermittelkontrolleur/in;11283
Fütterungsberater/in;11283
Stallmeister/in;11283
Bienenmeister/in;11293
Geflügelzuchtmeister/in;11293
Imkermeister/in;11293
Meister/in - Bienenhaltung;11293
Meister/in - Bienenzucht;11293
Meister/in - Geflügelproduktion;11293
Meister/in - Geflügelzucht;11293
Meister/in - Pelztierhaltung;11293
Meister/in - Pelztierzucht;11293
Meister/in - Rinderproduktion;11293
Meister/in - Rinderzucht;11293
Meister/in - Schafhaltung;11293
Meister/in - Schafzucht;11293
Meister/in - Schweineproduktion;11293
Meister/in - Schweinezucht;11293
Melkermeister/in;11293
Pelztierzuchtmeister/in;11293
Rindermeister/in;11293
Rinderzuchtmeister/in;11293
Rindviehpflegemeister/in;11293
Schäfermeister/in;11293
Schafzuchtmeister/in;11293
Schweinezuchtmeister/in;11293
Tierwirtschaftsmeister/in - Bienenhaltung;11293
Tierwirtschaftsmeister/in - Geflügelhaltung;11293
Tierwirtschaftsmeister/in - Imkerei;11293
Tierwirtschaftsmeister/in - Pelztierhaltung;11293
Tierwirtschaftsmeister/in - Rinderhaltung;11293
Tierwirtschaftsmeister/in - Schäferei;11293
Tierwirtschaftsmeister/in - Schafhaltung;11293
Tierwirtschaftsmeister/in - Schweinehaltung;11293
Betriebsleiter/in - Tierzucht;11294
Farmleiter/in (Tierzucht);11294
Geflügelfarmleiter/in;11294
Geflügelzuchtleiter/in;11294
Tierzuchtleiter/in;11294
Verwalter/in - Tierzucht;11294
Gestütsgehilf(e/in);11302
Gestütswärter/in;11302
Pferdepfleger/in;11302
Pferdewirt/in - Pferdehaltung und Service;11302
Pferdewirt/in (mit Schwerpunkten);11302
Facharbeiter/in - Pferdezucht;11312
Pferdewirt/in - Pferdezucht;11312
Pferdewirt/in - Pferdezucht u. -haltung;11312
Pferdewirt/in - Zucht;11312
Pferdezüchter/in;11312
Bereiter/in;11322
Berufstrainer/in (Pferderennsport);11322
Pferdewirt/in - Klassische Reitausbildung;11322
Pferdewirt/in - Pferderennen;11322
Pferdewirt/in - Reiten;11322
Pferdewirt/in - Rennreiten;11322
Pferdewirt/in - Spezialreitweisen;11322
Pferdewirt/in - Trabrennfahren;11322
Beschlagschmied/in;11333
Fachagrarwirt/in - Hufpflege;11333
Hufbeschlagschmied/in;11333
Hufpfleger/in;11333
Hufschmied/in;11333
Huftechniker/in;11333
Pferdeschmied/in;11333
Bierkutscher/in;11342
Droschkenkutscher/in;11342
Fiaker/in;11342
Fuhrmann/-frau;11342
Gespannführer/in;11342
Kutscher/in;11342
Mietskutscher/in;11342
Meister/in - Pferdezucht;11393
Pferdewirtschafter/in (Hochschule);11393
Pferdewirtschaftsmeister/in - Galopprenntraining;11393
Pferdewirtschaftsmeister/in - Klassische Reitausbildung;11393
Pferdewirtschaftsmeister/in - Pferdehaltung und Service;11393
Pferdewirtschaftsmeister/in - Pferderennen;11393
Pferdewirtschaftsmeister/in - Pferdezucht;11393
Pferdewirtschaftsmeister/in - Pferdezucht und -haltung;11393
Pferdewirtschaftsmeister/in - Reitausbildung;11393
Pferdewirtschaftsmeister/in - Spezialreitweisen;11393
Pferdewirtschaftsmeister/in - Trabrenntraining;11393
Reitmeister/in;11393
Reitsportmeister/in (Galopp);11393
Reitsportmeister/in (Trab);11393
Sattelmeister/in;11393
Gestütsleiter/in;11394
Gestütsverwalter/in;11394
Verwalter/in - Pferdegestüt;11394
Fischereihelfer/in;11401
Fischerhelfer/in;11401
Helfer/in - Fischerei;11401
Helfer/in - Fischwirtschaft;11401
Fischereifacharbeiter/in;11402
Fischergehilfe/-gehilfin;11402
Fischwart/in;11402
Fischwirt/in (mit Schwerpunkten);11402
Fischzuchtgehilfe/-gehilfin;11402
Besatzfischzüchter/in;11412
Fischhalter/in;11412
Fischwirt/in - Aquakultur und Binnenfischerei;11412
Fischwirt/in - Fischhaltung und Fischzucht;11412
Fischzüchter/in;11412
Forellenproduzent/in;11412
Forellenzüchter/in;11412
Karpfenbauer/-bäuerin;11412
Karpfenfischwirt/in;11412
Karpfenhalter/in;11412
Karpfenproduzent/in;11412
Karpfenteichwirt/in;11412
Karpfenwirt/in;11412
Karpfenzüchter/in;11412
Köderfischzüchter/in;11412
Muschelzüchter/in;11412
Nutzfischzüchter/in;11412
Satzfischzüchter/in;11412
Speisefischzüchter/in;11412
Teichbauer/-bäuerin;11412
Teichwirt/in;11412
Zierfischzüchter/in;11412
Binnenfischer/in;11422
Fischer/in;11422
Fischwirt/in - Kleine Hochsee- und Küstenfischerei;11422
Fischwirt/in - Küstenfischerei und Kleine Hochseefischerei;11422
Fischwirt/in - Seen- und Flussfischerei;11422
Flussfischer/in;11422
Garnelenfischer/in;11422
Heringsfischer/in;11422
Herzmuschelfischer/in;11422
Hochseefischer/in (Matrose/Matrosin);11422
Krabbenfischer/in;11422
Küstenfischer/in (Matrose/Matrosin);11422
Kutterfischer/in (Krabbenfischerei);11422
Makrelenfischer/in;11422
Miesmuschelfischer/in;11422
Muschelfischer/in;11422
Schleppnetzfischer/in;11422
Seenfischer/in;11422
Stellnetzfischer/in;11422
Treibnetzfischer/in;11422
Vollmatrose/-matrosin Hochseefischerei;11422
Wattenfischer/in;11422
Fischereitechniker/in;11423
Techniker/in - Fischerei;11423
Fischereiingenieur/in (Binnenfischerei);11424
Fischereiingenieur/in (Fischproduktion);11424
Ingenieur/in - Fischereitechnik;11424
Fischereiaufseher/in;11493
Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht;11493
Fischwirtschaftsmeister/in - Kl. Hochsee- u. Küstenfischerei;11493
Fischwirtschaftsmeister/in - Seen- und Flussfischerei;11493
Fischzuchtmeister/in;11493
Ingenieur/in (FS) - Binnenfischerei;11493
Küstenfischermeister/in;11493
Meister/in - Binnenfischerei;11493
Meister/in - Fischhaltung und Fischzucht;11493
Meister/in - Flussfischerei;11493
Meister/in - Seefischerei;11493
Dipl.-Fischereiing./in (Uni)-Fischproduktion;11494
Dipl.-Ing. (Uni) - Fischereitechnik;11494
Fischereiverwalter/in;11494
Fischzuchtbetriebsleiter/in;11494
Fischzuchtleiter/in;11494
Teichverwalter/in;11494
Helfer/in - Tierpflege;11501
Tierpflegerhelfer/in;11501
Viehpfleger/in;11501
Tierwärter/in;11502
Rindviehpfleger/in;11512
Tierpfleger/in - Nutztierhaltung;11512
Aquarienwärter/in;11522
Haustierpfleger/in;11522
Hundefriseur/in;11522
Hundepfleger/in;11522
Kleintierpfleger/in;11522
Pensionstierpfleger/in;11522
Tierheimpfleger/in;11522
Tierpfleger/in - Tierheim und Pensionstierpflege;11522
Tierpfleger/in - Tierheim und Tierpension;11522
Tierpfleger/in - Wildtierhaltung;11522
Tierpfleger/in - Zoo;11522
Tierpfleger/in - Zootierpflege;11522
Zooinspektor/in;11522
Zootierpfleger/in;11522
Zoowärter/in;11522
Beschälmeister/in;11582
Beschälwärter/in;11582
Deckstationswärter/in;11582
Delphintrainer/in;11582
Dresseur/in (Tierlehrer/in);11582
Falkner/in;11582
Hundedressierer/in;11582
Hundetrainer/in;11582
Kynopädagoge/-pädagogin;11582
Labortierpfleger/in;11582
Robbentrainer/in;11582
Seehundtrainer/in;11582
Seelöwentrainer/in;11582
Stallmeister/in (Tierpfleger/in);11582
Tierlehrer/in;11582
Tierpfleger/in - Forschung und Klinik;11582
Tierpfleger/in - Haus- und Versuchstierpflege;11582
Tierpfleger/in - Versuchstierhaltung;11582
Tiertrainer/in;11582
Versuchsassistent/in (Tierzucht und Tierpflege);11582
Versuchstierpfleger/in;11582
Falkenmeister/in;11593
Tierpflegemeister/in;11593
Zootiermeister/in;11593
Leiter/in - Tiergarten;11594
Tierasylleiter/in;11594
Tierheimleiter/in;11594
Zoodirektor/in;11594
Pflanzreberzeuger/in;11602
Rebbauer/-bäuerin;11602
Rebenveredler/in;11602
Rebgärtner/in;11602
Rebmann/-frau;11602
Weinbauer/-bäuerin;11602
Weingärtner/in;11602
Winzer/in;11602
Winzergehilfe/-gehilfin;11602
Rebentechniker/in;11603
Reblaussachverständige/r;11603
Techniker/in - Agrartechnik (Weinbau/Kellerwirtschaft);11603
Techniker/in - Weinbau und Kellerwirtschaft/B. Prof. Technik;11603
Weinbau- und Kellerwirtschaftstechniker/in;11603
Weinbautechniker/in;11603
Dipl.-Ing. (FH) - Weinbau u. Getränketechnologie;11604
Dipl.-Ing. (FH) - Weinbau u. Kellerwirtschaft;11604
Ingenieur/in - Rebanbau;11604
Ingenieur/in - Weinbau und Kellerwirtschaft;11604
Ingenieur/in - Weinbau und Önologie;11604
Önologe/Önologin;11604
Weinbauberater/in;11604
Weinbauingenieur/in;11604
Weinwirtschaftsingenieur/in;11604
Meister/in - Weinbau;11693
Weinbauwirtschafter/in;11693
Wingertmeister/in;11693
Wingertsmeister/in;11693
Winzermeister/in;11693
Wirtschafter/in - Weinbau/B. Prof. Agrarwirtsch.;11693
Betriebsleiter/in - Weinbau;11694
Weingutsverwalter/in;11694
Baumfäller/in;11711
Forstarbeiter/in;11711
Forsthelfer/in;11711
Forsthilfsarbeiter/in;11711
Forstkulturarbeiter/in;11711
Forstwirtschaftshelfer/in;11711
Helfer/in - Forstwirtschaft;11711
Holzfäller/in;11711
Holzrücker/in;11711
Köhler/in;11711
Motorsägenführer/in (Waldwirtschaft);11711
Waldarbeiter/in;11711
Waldhelfer/in;11711
Waldkulturarbeiter/in;11711
Beamt(er/in) - Forstdienst (mittl. Dienst);11712
Beamt(er/in) - Forstdienst (mittl. techn. Dienst);11712
Facharbeiter/in - Forstwirtschaft;11712
Forstbaumschulwärter/in;11712
Forstfacharbeiter/in;11712
Forstfacharbeiter/in/Mechanisator/in;11712
Forstwirt/in;11712
Forstwirt/in (Waldfacharbeiter/in);11712
Waldfacharbeiter/in;11712
Waldwegewart/in;11712
Beamt(er/in) - Forstdienst (geh. Dienst);11713
Forstbeamt(er/in) (geh. Dienst);11713
Förster/in (geh. Dienst);11713
Forstingenieur/in (FS);11713
Forsttechniker/in;11713
Forstwirtschaftstechniker/in;11713
Ingenieurökonom/in - Soz. Betriebswirtsch.(Forstwirtschaft);11713
Techniker/in - Forsttechnik/B. Prof. Technik;11713
Techniker/in - Forstwirtschaft;11713
Beamt(er/in) - Forstdienst (höh. Dienst);11714
Dipl.-Forstingenieur/in;11714
Dipl.-Forstwirt/in (Uni);11714
Dipl.-Ing. (FH) - Forstwirtschaft;11714
Forstassessor/in;11714
Förster/in (Hochschule);11714
Forstingenieur/in;11714
Forstwirtschaftsingenieur/in;11714
Forstwirtschaftssachverständige/r;11714
Forstwissenschaftler/in;11714
Fachkraft für Rekultivierung;11722
Naturschutzwart/in;11722
Berater/in - Naturschutz;11723
Fachagrarwirt/in - Naturschutz und Landschaftspflege;11723
Landschaftsökologietechniker/in;11723
Landschaftspfleger/in;11723
Landschaftspfleger/in (Fachagrarwirt/in);11723
Natur- und Landschaftspfleger/in;11723
Naturschutzbeauftragte/r;11723
Ranger/in;11723
Techniker/in - Landschaft;11723
Techniker/in - Umwelt/Landschaft;11723
Agrarökologe/-ökologin;11724
Dipl.-Ing. (FH) - Landschaft./Naturschutz;11724
Dipl.-Ing. (Uni) - Landeskultur und Umweltschutz;11724
Dipl.-Ing. (Uni) - Landschaftsökologie;11724
Dipl.-Landschaftsökologe/in (Uni);11724
Ingenieur/in - Landschaftsnutzung/Naturschutz;11724
Ingenieur/in - Landschaftsökologie;11724
Ingenieur/in - Landschaftspflege;11724
Ingenieur/in - Naturschutz und Landschaftsplanung;11724
Landeskultur- und Umweltschutzingenieur/in;11724
Landeskulturingenieur/in;11724
Landschaftsökologe/-ökologin;11724
Berufsjäger/in;11732
Jagdheger/in;11732
Jäger/in (Berufsjäger/in);11732
Revierjäger/in;11732
Tierfänger/in;11732
Wildheger/in;11732
Wildhüter/in;11732
Wildjäger/in;11732
Kräutersammler/in;11742
Pilzsammler/in;11742
Waldfrüchtesammler/in;11742
Forstmeister/in;11793
Forstwirtschafter/in;11793
Forstwirtschaftsmeister/in;11793
Jagdmeister/in;11793
Meister/in - Forstwirtschaft;11793
Meister/in - Jagdwirtschaft;11793
Revierjagdmeister/in;11793
Waldwirtschafter/in;11793
Waldwirtschaftsmeister/in;11793
Wildmeister/in;11793
Wirtschafter/in - Forstwirtschaft;11793
Betriebsleiter/in - forstwirtschaftlich;11794
Forstbetriebsleiter/in;11794
Forstpräsident/in;11794
Forstverwalter/in;11794
Forstverwalter/in / Betriebsleiter/in - Forst;11794
Revierförster/in;11794
Revierleiter/in (Förster/in);11794
Baumschulenarbeiter/in;12101
Baumschulenhelfer/in;12101
Blumenbinderhelfer/in;12101
Floristikhelfer/in;12101
Friedhofsarbeiter/in;12101
Friedhofsgartenarbeiter/in;12101
Friedhofswärter/in;12101
Gartenarbeiter/in;12101
Gartenbauhelfer/in;12101
Gartenbauhilfskraft;12101
Gärtnereihilfsarbeiter/in;12101
Gärtnergehilf(e/in);12101
Grünanlagenpfleger/in;12101
Helfer/in - Baumschule;12101
Helfer/in - Floristik;12101
Helfer/in - Gartenbau;12101
Helfer/in - Grünanlagen;12101
Helfer/in - Landschaftsarbeit;12101
Landschaftsarbeiter/in;12101
Rasenpfleger/in;12101
Assistent/in - Betriebsleitung im Gartenbau;12102
Betriebsgärtner/in;12102
Gartenbauer/in;12102
Gartenbaufacharbeiter/in;12102
Gartenbaufachkraft;12102
Gartenbauwerker/in;12102
Gartenbauwerker/in (§66 BBiG/§42m HWO);12102
Vorarbeiter/in - Gartenbau;12102
Fachberater/in - Gartenbau;12103
Fachberater/in - Pflanzen und Saatgut;12103
Gartenbauberater/in;12103
Gartenbauingenieur/in (FS) - Gärtnerische Produktion;12103
Gartenbautechniker/in;12103
Gartenberater/in;12103
Gartentechniker/in;12103
Produktionsgartenbautechniker/in;12103
Saatzüchter/in;12103
Saatzuchtgärtner/in;12103
Saatzuchttechniker/in;12103
Techniker/in - Agrartechnik (Produktionsgartenbau);12103
Techniker/in - Gartenbau (Erwerbsgartenbau);12103
Techniker/in - Gartenbau (ohne Schwerpunkt)/B. Prof. Technik;12103
Techniker/in - Produktionsgartenbau;12103
Techniker/in (staatl.gepr.) - Agrartechnik (Gartenbau);12103
Dipl.-Gartenbauingenieur/in (Uni) - Gärtnerische Produktion;12104
Dipl.-Ing. - Gartenbau;12104
Dipl.-Ing. (Uni) - Agrarwirtschaft (Gartenbau);12104
Gartenbauingenieur/in;12104
Gartenbauwissenschaftler/in;12104
Champignonzüchter/in;12112
Edelpilzzüchter/in;12112
Gärtner/in - Gemüsebau;12112
Gärtner/in - Gemüseproduktion unter Glas und Plasten;12112
Gärtner/in - Obstbau;12112
Gemüsebauer/-bäuerin;12112
Gemüsegärtner/in;12112
Obstbauer/-bäuerin (Gärtner/in);12112
Obstbaufacharbeiter/in;12112
Obstgärtner/in;12112
Pilzzüchter/in (Edelpilzzucht);12112
Fachberater/in - Obstbau;12113
Gemüseanbauberater/in;12113
Gemüsebautechniker/in;12113
Obstbauberater/in;12113
Obstbautechniker/in;12113
Techniker/in - Gartenbau (Gemüsebau);12113
